Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
always-have-me-disney-elsa-lip-gloss-glitter-gel-set,Always Have Me,<p>add some sparkle and glow and create anna’s signature look!</p>,ColourPop,Lip & Glitter Set,"#.collection:promoproducts,#.excluded:10milli25,#.excluded:cw2020,#.excluded:FALL25,#.excluded:PresidentsDay25,#.excluded:SpringSale25,#.hidden:false,#.prezsaleprice:1425,#.promo-price:1200,100120,category:Kits/Sets,collab:Disney,Collection,color:Multi,disneybundles,event:Frozen 2 2019,finish:Multi,productline:ColourPop,productsize:full,producttype:Lip & Glitter Set,subcategory:Set,unitnumber:2,unittype:bundle",2021-01-01T09:40:40-08:00,Title,Default Title,,,,,Bundle-AlwaysHaveMe,85,shopify,,,,16.00,,True,True,,,1,,,Always Have Me,Always Have Me,,,,,,,,,,,,,,,G,,
little-snow-lux-lipstick,Little Snow,<p>créme pink raspberry</p><p>This item is limited edition.</p><p>©Disney</p>,ColourPop,Crème Lux Lipstick,"#.collection:promoproducts,#.hidden:false,#.promo-price:750,111519,category:Lips,collab:Disney,color:Pinks,Crème,dy_keywords:frozen|disney|elsa,event:Frozen 2 2019,finish:Crème,Lipstick,Lux Lipstick,NLD2020,NonLiquidLipsticks,Pinks,productline:ColourPop,productsize:full,producttype:Lux Lipstick,subcategory:Non Liquid Lips,TopVegan,unitnumber:1,unittype:single",2019-11-15T09:57:29-08:00,Title,Default Title,,,,,LuxLipstick-LittleSnow,34,shopify,,,,10.00,,True,True,,,1,,,Little Snow,Little Snow,,,,,,,,,,,,,,,G,,
next-right-thing-disney-frozen-anna-palette-lip-gloss-set,Next Right Thing,<p>do the next right thing with the anna palette and ultra glossy lip!</p>,ColourPop,Lip & Eye Set,"#.collection:promoproducts,#.excluded:10milli25,#.excluded:cw2020,#.excluded:FALL25,#.excluded:PresidentsDay25,#.excluded:SpringSale25,#.hidden:false,#.prezsaleprice:1875,#.promo-price:1500,100120,category:Kits/Sets,collab:Disney,Collection,color:Multi,disneybundles,event:Frozen 2 2019,finish:Multi,productline:ColourPop,productsize:full,producttype:Lip & Eye Set,subcategory:Set,unitnumber:10,unittype:bundle",2021-01-01T09:38:07-08:00,Title,Default Title,,,,,Bundle-NextRightThing,145,shopify,,,,20.00,,True,True,,,1,,,Next Right Thing,Next Right Thing,,,,,,,,,,,,,,,G,,
oh-deer-false-eyelashes,Oh Deer,<p>This item is not available to ship to Venezuela.</p><p><strong>©Disney</strong></p>,ColourPop,Falsies Faux Lashes,"#.collection:promoproducts,#.hidden:false,#.promo-price:750,#.shipping:Venezuela-restrict,022521,category:Eyes,collab:Disney,color:Blacks,event:Bambi,Falsies Faux Lashes,finish:None,new,productline:ColourPop,productsize:full,producttype:Falsies Faux Lashes,subcategory:Eye Lash,unitnumber:2,unittype:single",2021-02-25T09:59:12-08:00,Title,Default Title,,,,,Lashes-OhDeer,31,shopify,,,,10.00,,True,True,,,1,,,Oh Deer,Oh Deer,,,,,,,,,,,,,,,G,,
bambi-nude-lip-gloss,Bambi Gloss,"<p>sheer warm nude with pink, silver, and gold shimmering pinpoints</p><p><br></p><p>This item is not available to ship to Venezuela.</p><p><strong>©Disney</strong></p>",ColourPop,Lux Gloss,"#.collection:promoproducts,#.hidden:false,#.promo-price:675,#.shipping:Venezuela-restrict,022521,category:Lips,collab:Disney,color:Nudes,event:Bambi,finish:Pearlescent,lipgloss,LiquidLips,liquidlipstick,Lux Gloss,Lux Liquid Lip,new,Nudes,Pearlescent,productline:ColourPop,productsize:full,producttype:Lux Gloss,subcategory:Gloss,unitnumber:1,unittype:single",2021-02-25T09:59:01-08:00,Title,Default Title,,,,,LuxGloss-Bambi,37,shopify,,,,9.00,,True,True,,,1,,,Bambi Gloss,Bambi Gloss,,,,,,,,,,,,,,,G,,
flower-lavender-lip-gloss,Flower Gloss,<p>sheer cool lavender with pink and blue shimmering pinpoints</p><p><br></p><p>This item is not available to ship to Venezuela.</p><p><strong>©Disney</strong></p>,ColourPop,Lux Gloss,"#.collection:promoproducts,#.hidden:false,#.promo-price:675,#.shipping:Venezuela-restrict,022521,category:Lips,collab:Disney,color:Purples,event:Bambi,finish:Pearlescent,lipgloss,LiquidLips,liquidlipstick,Lux Gloss,Lux Liquid Lip,new,Pearlescent,Pinks,productline:ColourPop,productsize:full,producttype:Lux Gloss,subcategory:Gloss,unitnumber:1,unittype:single",2021-02-25T09:59:05-08:00,Title,Default Title,,,,,LuxGloss-Flower,37,shopify,,,,9.00,,True,True,,,1,,,Flower Gloss,Flower Gloss,,,,,,,,,,,,,,,G,,
meadow-matte-eyeliner-pencil,Meadow Liner,<p>matte butter yellow</p><p><br></p><p>This item is not available to ship to Venezuela.</p><p><strong>©Disney</strong></p>,ColourPop,Crème Gel Liner,"#.collection:promoproducts,#.hidden:false,#.promo-price:600,#.promo:BOGOBFF21,#.shipping:Venezuela-restrict,022521,BOGO033021,category:Eyes,collab:Disney,color2:Yellows,color:Neutrals,crme-gel-liner,Crème Gel Liner,event:Bambi,finish:Matte,Matte,Neutrals,new,productline:ColourPop,productsize:full,producttype:Crème Gel Liner,subcategory:Eyeliner,unitnumber:1,unittype:single,Yellows",2021-02-25T09:59:10-08:00,Title,Default Title,,,,,CremeGelPencil-Meadow,9,shopify,,,,8.00,,True,True,,,1,,,Meadow Liner,Meadow Liner,,,,,,,,,,,,,,,G,,
purty-matte-eyeliner-pencil,Purty Liner,<p>matte plum</p><p><br></p><p>This item is not available to ship to Venezuela.</p><p><strong>©Disney</strong></p>,ColourPop,Crème Gel Liner,"#.collection:promoproducts,#.hidden:false,#.promo-price:600,#.promo:BOGOBFF21,#.shipping:Venezuela-restrict,022521,BOGO033021,category:Eyes,collab:Disney,color:Purples,crme-gel-liner,Crème Gel Liner,event:Bambi,finish:Matte,Matte,new,productline:ColourPop,productsize:full,producttype:Crème Gel Liner,Purples,subcategory:Eyeliner,unitnumber:1,unittype:single",2021-02-25T09:59:13-08:00,Title,Default Title,,,,,CremeGelPencil-Purty,9,shopify,,,,8.00,,True,True,,,1,,,Purty Liner,Purty Liner,,,,,,,,,,,,,,,G,,
raindrops-metallic-eyeliner-pencil,Raindrops Liner,<p>metallic icy rose</p><p><br></p><p>This item is not available to ship to Venezuela.</p><p><strong>©Disney</strong></p>,ColourPop,Crème Gel Liner,"#.collection:promoproducts,#.hidden:false,#.promo-price:600,#.promo:BOGOBFF21,#.shipping:Venezuela-restrict,022521,BOGO033021,category:Eyes,collab:Disney,color2:Neutrals,color:Pinks,crme-gel-liner,Crème Gel Liner,event:Bambi,finish:Metallic,Metallic,Neutrals,new,Pinks,productline:ColourPop,productsize:full,producttype:Crème Gel Liner,subcategory:Eyeliner,unitnumber:1,unittype:single",2021-02-25T09:59:14-08:00,Title,Default Title,,,,,CremeGelPencil-Raindrops,9,shopify,,,,8.00,,True,True,,,1,,,Raindrops Liner,Raindrops Liner,,,,,,,,,,,,,,,G,,
going-north-lux-lipstick,Going North,<p>Créme chestnut</p><p>This item is limited edition.</p><p>©Disney</p>,ColourPop,Crème Lux Lipstick,"#.hidden:false,#.promo-price:750,111519,category:Lips,collab:Disney,color2:Nudes,color:Darks,Crème,Darks,dy_keywords:disney|anna|frozen,event:Frozen 2 2019,finish:Crème,Lipstick,Lux Lipstick,NLD2020,NonLiquidLipsticks,Nudes,productline:ColourPop,productsize:full,producttype:Lux Lipstick,subcategory:Non Liquid Lips,TopVegan,unitnumber:1,unittype:single",2019-11-15T09:57:29-08:00,Title,Default Title,,,,,LuxLipstick-GoingNorth,34,shopify,,,,10.00,,True,True,,,1,,,Going North,Going North,,,,,,,,,,,,,,,G,,
matchmaker-mulan-nude-pressed-powder-blush,Matchmaker,<p>pale nude with gold pearl</p><p>This item is limited edition.</p><p>©Disney</p>,ColourPop,Pressed Powder Blush,"#.collection:promoproducts,#.excluded:PresidentsDay25,#.excluded:PresidentsDay25-text,#.excluded:WILD10,#.excluded:WILD10-text,#.hidden:false,#.promo-price:900,031920,category:Cheeks,collab:Disney,color:Nudes,event:Mulan,EvergreenSale,finish:Pearlized,productline:ColourPop,productsize:full-compact,producttype:Pressed Powder Blush,subcategory:Blush,unitnumber: 1,unittype:single",2020-03-19T09:57:52-07:00,Title,Default Title,,,,,PPBlushCompact-Matchmaker,62,shopify,,,,12.00,,True,True,,,1,,,Matchmaker,Matchmaker,,,,,,,,,,,,,,,G,,
